Appareil,Source,Impressions,Clics,CTR_calculé,Position,Importance_relative,Fiabilité
Mobile,Global,21087244,408346,0.0194,13.94,53.19,Excellente
Mobile,manufacturer URL,599182,6456,0.0108,11.92,1.51,Excellente
Mobile,Tesla KWD,71407,1270,0.0178,12.77,0.18,Excellente
Mobile,Electric URL,27057,449,0.0166,13.97,0.07,Excellente
Mobile,Electric KWD,9077,73,0.008,15.34,0.02,Bonne
Ordinateur,Global,17067753,255313,0.015,27.67,43.05,Excellente
Ordinateur,manufacturer URL,349886,3353,0.0096,20.43,0.88,Excellente
Ordinateur,Tesla KWD,59012,725,0.0123,19.42,0.15,Excellente
Ordinateur,Electric URL,33081,458,0.0138,19.55,0.08,Excellente
Ordinateur,Electric KWD,15689,91,0.0058,21.45,0.04,Excellente
Tablette,Global,318293,12652,0.0397,8.17,0.8,Excellente
Tablette,manufacturer URL,3927,194,0.0494,7.89,0.01,Bonne
Tablette,Tesla KWD,637,34,0.0534,5.96,0.0,Moyenne
Tablette,Electric URL,227,25,0.1101,4.21,0.0,Moyenne
Tablette,Electric KWD,84,1,0.0119,4.39,0.0,Faible
