Date,Clics,Impressions,CTR,Position
2025-02-05,34,2738,1.24%,18.62
2025-02-04,39,2370,1.65%,18.12
2025-02-03,41,2929,1.4%,18.06
2025-02-02,29,2485,1.17%,19.92
2025-02-01,33,2833,1.16%,20.56
2025-01-31,27,2666,1.01%,19.66
2025-01-30,23,2377,0.97%,18.48
2025-01-29,26,2900,0.9%,20.74
2025-01-28,37,2806,1.32%,19.14
2025-01-27,34,2321,1.46%,20.43
2025-01-26,26,2204,1.18%,23.61
2025-01-25,23,2147,1.07%,21.99
2025-01-24,38,2628,1.45%,20.57
2025-01-23,29,3004,0.97%,19.72
2025-01-22,28,1902,1.47%,20.5
2025-01-21,35,2234,1.57%,19.17
2025-01-20,40,2034,1.97%,20.58
2025-01-19,24,2296,1.05%,21.82
2025-01-18,29,2004,1.45%,20.82
2025-01-17,24,1884,1.27%,18.28
2025-01-16,27,1818,1.49%,19.85
2025-01-15,40,2156,1.86%,22.95
2025-01-14,39,2106,1.85%,19.64
2025-01-13,31,1942,1.6%,18.46
2025-01-12,36,1931,1.86%,20.4
2025-01-11,24,1909,1.26%,21.2
2025-01-10,32,2077,1.54%,20.63
2025-01-09,38,1722,2.21%,16.14
2025-01-08,36,1860,1.94%,19.25
2025-01-07,40,1899,2.11%,17.71
2025-01-06,30,1900,1.58%,20.67
2025-01-05,26,1735,1.5%,19.55
2025-01-04,26,1702,1.53%,20.78
2025-01-03,47,1865,2.52%,19.52
2025-01-02,30,2030,1.48%,19.99
2025-01-01,29,1749,1.66%,21.53
2024-12-31,20,1544,1.3%,21.43
2024-12-30,38,1815,2.09%,18.36
2024-12-29,26,1701,1.53%,19.74
2024-12-28,30,1897,1.58%,20.65
2024-12-27,39,1989,1.96%,20.84
2024-12-26,29,1753,1.65%,19.75
2024-12-25,17,1522,1.12%,22.65
2024-12-24,22,1742,1.26%,25.28
2024-12-23,33,1553,2.12%,20.45
2024-12-22,27,1882,1.43%,23.9
2024-12-21,31,1851,1.67%,22.64
2024-12-20,39,2106,1.85%,21.99
2024-12-19,31,1761,1.76%,20.62
2024-12-18,39,2007,1.94%,20.3
2024-12-17,29,1790,1.62%,21.03
2024-12-16,38,1905,1.99%,19.09
2024-12-15,30,1724,1.74%,20.43
2024-12-14,27,1897,1.42%,21.52
2024-12-13,37,2176,1.7%,21.44
2024-12-12,38,2744,1.38%,22.01
2024-12-11,43,2716,1.58%,22.79
2024-12-10,42,2654,1.58%,21.4
2024-12-09,49,2687,1.82%,22.42
2024-12-08,33,2435,1.36%,22.91
2024-12-07,49,2591,1.89%,23.33
2024-12-06,27,3319,0.81%,24.32
2024-12-05,58,2698,2.15%,20.78
2024-12-04,52,3107,1.67%,22.57
2024-12-03,57,2799,2.04%,19.81
2024-12-02,53,2906,1.82%,20.26
2024-12-01,48,2498,1.92%,19.31
2024-11-30,48,2411,1.99%,20.4
2024-11-29,49,2543,1.93%,22.96
2024-11-28,47,2375,1.98%,21.57
2024-11-27,43,2518,1.71%,21.57
2024-11-26,48,2552,1.88%,22.56
2024-11-25,47,2979,1.58%,22.65
2024-11-24,50,2488,2.01%,22.4
2024-11-23,38,2454,1.55%,22.78
2024-11-22,42,2957,1.42%,24.1
2024-11-21,57,3069,1.86%,23.02
2024-11-20,62,3353,1.85%,21.7
2024-11-19,58,2798,2.07%,21
2024-11-18,45,2889,1.56%,20.43
2024-11-17,47,2424,1.94%,24.26
2024-11-16,41,2299,1.78%,23.43
2024-11-15,46,2428,1.89%,22.9
2024-11-14,42,2548,1.65%,21.96
2024-11-13,35,2655,1.32%,21.6
2024-11-12,51,2853,1.79%,22.51
2024-11-11,63,2433,2.59%,20.87
2024-11-10,45,2248,2%,22.33
2024-11-09,38,2365,1.61%,23.23
2024-11-08,48,2357,2.04%,23.21
2024-11-07,41,2412,1.7%,22.25
2024-11-06,40,2282,1.75%,22.36
