Date,Clics,Impressions,CTR,Position
2025-02-05,2,334,0.6%,19.1
2025-02-04,1,236,0.42%,16.83
2025-02-03,2,350,0.57%,14.65
2025-02-02,0,291,0%,17.54
2025-02-01,1,337,0.3%,17.28
2025-01-31,2,318,0.63%,20.19
2025-01-30,3,238,1.26%,16.66
2025-01-29,2,335,0.6%,15.48
2025-01-28,2,332,0.6%,16.46
2025-01-27,3,74,4.05%,20.15
2025-01-26,1,133,0.75%,30.31
2025-01-25,0,192,0%,19.97
2025-01-24,0,256,0%,16.36
2025-01-23,1,424,0.24%,14.13
2025-01-22,1,75,1.33%,17.57
2025-01-21,4,256,1.56%,13.65
2025-01-20,2,89,2.25%,11.55
2025-01-19,1,204,0.49%,11.32
2025-01-18,1,127,0.79%,11.47
2025-01-17,2,170,1.18%,12.89
2025-01-16,0,88,0%,27.23
2025-01-15,2,151,1.32%,14.75
2025-01-14,2,117,1.71%,18.38
2025-01-13,0,120,0%,12.88
2025-01-12,1,172,0.58%,15.63
2025-01-11,2,174,1.15%,17.71
2025-01-10,2,150,1.33%,15.15
2025-01-09,1,147,0.68%,13.18
2025-01-08,2,118,1.69%,11.86
2025-01-07,2,132,1.52%,13.35
2025-01-06,1,117,0.85%,9.54
2025-01-05,1,165,0.61%,11.1
2025-01-04,0,113,0%,13.12
2025-01-03,0,105,0%,14.9
2025-01-02,2,161,1.24%,15.14
2025-01-01,2,171,1.17%,17.35
2024-12-31,1,149,0.67%,11.92
2024-12-30,3,115,2.61%,12.03
2024-12-29,2,146,1.37%,11.89
2024-12-28,0,148,0%,12.96
2024-12-27,2,143,1.4%,11.8
2024-12-26,2,107,1.87%,16.36
2024-12-25,0,225,0%,16.76
2024-12-24,2,183,1.09%,22.08
2024-12-23,1,136,0.74%,11.92
2024-12-22,0,214,0%,21.72
2024-12-21,3,157,1.91%,16.62
2024-12-20,2,117,1.71%,13.52
2024-12-19,4,143,2.8%,13.27
2024-12-18,3,139,2.16%,11.78
2024-12-17,4,186,2.15%,14.16
2024-12-16,0,91,0%,11.08
2024-12-15,3,168,1.79%,14.2
2024-12-14,4,157,2.55%,12.41
2024-12-13,2,107,1.87%,13.29
2024-12-12,2,144,1.39%,9.94
2024-12-11,0,105,0%,10.68
2024-12-10,0,70,0%,11.77
2024-12-09,5,95,5.26%,9.6
2024-12-08,0,115,0%,22.01
2024-12-07,1,163,0.61%,14.8
2024-12-06,1,156,0.64%,21.46
2024-12-05,3,96,3.12%,10.55
2024-12-04,1,101,0.99%,23.81
2024-12-03,1,118,0.85%,10.86
2024-12-02,2,69,2.9%,8.13
2024-12-01,1,128,0.78%,16.37
2024-11-30,2,127,1.57%,10.4
2024-11-29,1,83,1.2%,21.69
2024-11-28,0,151,0%,13
2024-11-27,2,148,1.35%,19.18
2024-11-26,2,92,2.17%,6.99
2024-11-25,4,85,4.71%,9.42
2024-11-24,1,94,1.06%,9.39
2024-11-23,1,110,0.91%,9.85
2024-11-22,7,74,9.46%,8.19
2024-11-21,3,123,2.44%,10.98
2024-11-20,1,121,0.83%,9.12
2024-11-19,3,114,2.63%,11.25
2024-11-18,3,88,3.41%,9.93
2024-11-17,1,145,0.69%,10.26
2024-11-16,1,135,0.74%,15.88
2024-11-15,3,124,2.42%,19.98
2024-11-14,1,186,0.54%,11.48
2024-11-13,1,173,0.58%,19.77
2024-11-12,1,243,0.41%,12.93
2024-11-11,2,107,1.87%,8.21
2024-11-10,2,178,1.12%,13.59
2024-11-09,4,158,2.53%,14.51
2024-11-08,6,124,4.84%,10.43
2024-11-07,3,147,2.04%,9.22
2024-11-06,4,148,2.7%,16.11
