Pays,Clics,Impressions,CTR,Position
États-Unis,1698,117363,1.45%,15.76
Canada,22,577,3.81%,8.6
Émirats Arabes Unis,18,286,6.29%,5.51
Pays-Bas,17,495,3.43%,6.89
Hong-Kong,16,97,16.49%,5.31
Turquie,15,279,5.38%,9.15
Australie,14,447,3.13%,9.81
Royaume-Uni,13,1200,1.08%,30.21
Belgique,12,152,7.89%,8.26
France,11,488,2.25%,12.63
Croatie,11,69,15.94%,6.9
Suisse,10,96,10.42%,4.1
Porto Rico,10,76,13.16%,4.87
Malaisie,9,194,4.64%,6.75
Japon,8,143,5.59%,7.64
Grèce,8,135,5.93%,10.93
République tchèque,8,70,11.43%,5.14
Ukraine,7,150,4.67%,10.42
Thaïlande,7,114,6.14%,4.93
Israël,7,58,12.07%,4.4
Inde,6,649,0.92%,16.63
Allemagne,6,416,1.44%,20.61
Danemark,5,213,2.35%,5.31
Portugal,5,148,3.38%,6.27
Norvège,5,60,8.33%,5.22
Mexique,4,183,2.19%,8.12
Pologne,4,133,3.01%,13.21
Roumanie,4,119,3.36%,13.14
Nouvelle-Zélande,4,94,4.26%,7.68
Taïwan,4,80,5%,4.75
Slovénie,4,48,8.33%,6.48
Espagne,3,193,1.55%,15.8
Singapour,3,126,2.38%,5.35
Suède,3,93,3.23%,8.32
Moldavie,3,17,17.65%,4.41
Irlande,2,91,2.2%,7.24
Hongrie,2,75,2.67%,11.24
Jordanie,2,54,3.7%,8.41
Colombie,2,50,4%,9.6
Géorgie,2,44,4.55%,3.89
Région inconnue,2,42,4.76%,9.12
Autriche,2,41,4.88%,8.46
Slovaquie,2,39,5.13%,4
Luxembourg,2,35,5.71%,10.23
Arménie,2,32,6.25%,3.91
République Dominicaine,2,28,7.14%,5.89
Qatar,2,18,11.11%,9.83
Brésil,1,1859,0.05%,23.84
Corée du Sud,1,376,0.27%,13.09
Bulgarie,1,161,0.62%,9.94
Philippines,1,146,0.68%,15.97
Italie,1,141,0.71%,20.45
Lituanie,1,66,1.52%,18.15
Pakistan,1,64,1.56%,26.38
Finlande,1,62,1.61%,11.48
Équateur,1,45,2.22%,7.58
Serbie,1,27,3.7%,3.81
Islande,1,26,3.85%,6.15
Ouzbékistan,1,21,4.76%,17.76
Estonie,1,18,5.56%,4
Costa Rica,1,12,8.33%,12.75
Koweït,1,11,9.09%,4.09
Macédoine,1,10,10%,4.3
Iran,1,10,10%,18.6
Bahamas,1,6,16.67%,5.67
Guam,1,4,25%,5
Myanmar (Birmanie),1,3,33.33%,2.67
Monaco,1,3,33.33%,3
Russie,0,992,0%,25.99
Vietnam,0,155,0%,20.16
Indonésie,0,133,0%,22.2
Afrique du Sud,0,85,0%,7.65
Argentine,0,72,0%,6.89
Bangladesh,0,71,0%,28.87
Irak,0,68,0%,33.41
Égypte,0,64,0%,13.39
Arabie Saoudite,0,61,0%,11.25
Tunisie,0,43,0%,12.88
Chili,0,35,0%,6.57
Chypre,0,35,0%,9.4
Maroc,0,32,0%,13
Pérou,0,30,0%,10
Algérie,0,27,0%,41.59
Nigéria,0,25,0%,4.88
Trinité-et-Tobago,0,24,0%,5.33
Lettonie,0,24,0%,8.5
Venezuela,0,20,0%,5.5
Azerbaïdjan,0,20,0%,10.35
Biélorussie,0,19,0%,12.84
Kazakhstan,0,16,0%,5.25
Cambodge,0,15,0%,2.87
Népal,0,15,0%,4.4
Uruguay,0,15,0%,13.27
Kenya,0,14,0%,4.43
Palestine,0,12,0%,4.42
Oman,0,12,0%,4.58
Paraguay,0,11,0%,44.45
Albanie,0,10,0%,4.8
Bahreïn,0,10,0%,4.9
Barbade (La),0,10,0%,4.9
