Date,Clics,Impressions,CTR,Position
2025-02-05,533,35706,1.49%,15.07
2025-02-04,663,37186,1.78%,15.17
2025-02-03,588,39173,1.5%,14.97
2025-02-02,506,42130,1.2%,18.14
2025-02-01,558,42176,1.32%,17.53
2025-01-31,560,52282,1.07%,19.38
2025-01-30,524,32990,1.59%,14.18
2025-01-29,491,33377,1.47%,14.27
2025-01-28,550,34155,1.61%,14.43
2025-01-27,564,39243,1.44%,16.28
2025-01-26,504,35006,1.44%,16.74
2025-01-25,517,33789,1.53%,15.94
2025-01-24,540,34086,1.58%,15.31
2025-01-23,658,37615,1.75%,15.43
2025-01-22,568,34669,1.64%,14.77
2025-01-21,660,42391,1.56%,17.21
2025-01-20,667,38805,1.72%,15.49
2025-01-19,533,38216,1.39%,16.85
2025-01-18,665,39862,1.67%,16.81
2025-01-17,559,33614,1.66%,13.56
2025-01-16,580,33571,1.73%,13.17
2025-01-15,558,34351,1.62%,14.43
2025-01-14,574,35954,1.6%,14.59
2025-01-13,542,35568,1.52%,14.48
2025-01-12,406,34479,1.18%,17.99
2025-01-11,478,38055,1.26%,17.71
2025-01-10,438,35001,1.25%,16.25
2025-01-09,450,30874,1.46%,14.41
2025-01-08,505,37614,1.34%,21.41
2025-01-07,647,32929,1.96%,15.35
2025-01-06,662,33637,1.97%,16.97
2025-01-05,522,33266,1.57%,20.8
2025-01-04,582,33220,1.75%,18.34
2025-01-03,645,36065,1.79%,18.69
2025-01-02,666,38776,1.72%,20.46
2025-01-01,464,26668,1.74%,18.11
2024-12-31,469,27199,1.72%,17.62
2024-12-30,510,31804,1.6%,15.54
2024-12-29,435,31276,1.39%,20.54
2024-12-28,472,34396,1.37%,20.24
2024-12-27,522,33660,1.55%,18.44
2024-12-26,529,31552,1.68%,15.83
2024-12-25,322,25119,1.28%,20.63
2024-12-24,344,25086,1.37%,19.69
2024-12-23,400,29568,1.35%,17.92
2024-12-22,368,34753,1.06%,24.82
2024-12-21,387,31724,1.22%,19.57
2024-12-20,420,34510,1.22%,20.82
2024-12-19,380,29190,1.3%,16.64
2024-12-18,478,31657,1.51%,16.84
2024-12-17,494,34102,1.45%,17.78
2024-12-16,524,34923,1.5%,18.01
2024-12-15,351,35827,0.98%,22.67
2024-12-14,462,36225,1.28%,20.06
2024-12-13,535,40121,1.33%,19.31
2024-12-12,573,42387,1.35%,18.83
2024-12-11,591,52036,1.14%,21.67
2024-12-10,579,44117,1.31%,19.31
2024-12-09,681,48398,1.41%,19.49
2024-12-08,508,52401,0.97%,26.74
2024-12-07,512,41854,1.22%,19.7
2024-12-06,565,51174,1.1%,19.1
2024-12-05,614,50867,1.21%,21.78
2024-12-04,660,52992,1.25%,22.81
2024-12-03,654,48566,1.35%,19.37
2024-12-02,758,55826,1.36%,18.73
2024-12-01,574,46529,1.23%,20.99
2024-11-30,697,44038,1.58%,17.46
2024-11-29,690,49379,1.4%,16.8
2024-11-28,496,39877,1.24%,19.73
2024-11-27,591,45829,1.29%,18.91
2024-11-26,637,49891,1.28%,17.92
2024-11-25,786,56567,1.39%,18.78
2024-11-24,629,51247,1.23%,22.52
2024-11-23,655,48379,1.35%,18.95
2024-11-22,714,54572,1.31%,20.13
2024-11-21,799,55211,1.45%,18.17
2024-11-20,772,56249,1.37%,19.03
2024-11-19,795,53423,1.49%,19.31
2024-11-18,791,53581,1.48%,18.11
2024-11-17,637,50875,1.25%,22.98
2024-11-16,620,45132,1.37%,19.86
2024-11-15,629,46845,1.34%,19.3
2024-11-14,670,46774,1.43%,18.03
2024-11-13,649,45861,1.42%,16.94
2024-11-12,707,51148,1.38%,19.21
2024-11-11,714,53855,1.33%,19.11
2024-11-10,569,47324,1.2%,22.31
2024-11-09,573,43007,1.33%,18.94
2024-11-08,575,49603,1.16%,22.43
2024-11-07,605,50590,1.2%,18.85
2024-11-06,565,46311,1.22%,17.53
