Pays,Clics,Impressions,CTR,Position
États-Unis,7900,821702,0.96%,14.13
Canada,233,7882,2.96%,16.27
Philippines,205,13445,1.52%,8.12
Émirats Arabes Unis,59,1001,5.89%,6.73
Royaume-Uni,52,10651,0.49%,27.97
Arabie Saoudite,51,792,6.44%,10.6
Australie,48,1229,3.91%,15.39
Porto Rico,48,333,14.41%,6.16
Pays-Bas,46,1508,3.05%,13.5
Bulgarie,45,716,6.28%,11.35
Allemagne,38,2082,1.83%,18.47
Hong-Kong,36,5391,0.67%,24.05
Inde,35,5960,0.59%,26.06
Turquie,35,1729,2.02%,15.24
Grèce,32,474,6.75%,10.41
Malaisie,30,1199,2.5%,13.65
Thaïlande,30,611,4.91%,7.81
Singapour,30,488,6.15%,6.65
France,29,3171,0.91%,14.3
Israël,29,370,7.84%,9.86
Afrique du Sud,28,885,3.16%,11.13
Japon,28,585,4.79%,13.46
Pologne,27,833,3.24%,12.6
Croatie,27,221,12.22%,6.71
Mexique,26,1402,1.85%,11.51
Nouvelle-Zélande,26,386,6.74%,16.83
Géorgie,26,209,12.44%,5.31
Slovénie,25,189,13.23%,7.25
Belgique,23,360,6.39%,19.89
République tchèque,23,262,8.78%,13.39
Suisse,23,181,12.71%,5.72
Taïwan,22,647,3.4%,17.11
Espagne,21,1028,2.04%,20.38
Portugal,21,382,5.5%,10.68
Pakistan,20,649,3.08%,23.11
Suède,20,440,4.55%,11.2
Corée du Sud,19,7026,0.27%,26.31
Albanie,18,116,15.52%,8.55
Roumanie,17,752,2.26%,24.58
Indonésie,17,745,2.28%,14.92
Serbie,17,211,8.06%,8.68
Finlande,16,232,6.9%,7.37
Norvège,16,210,7.62%,4.87
Macédoine,16,133,12.03%,5.12
Hongrie,15,281,5.34%,10.84
Qatar,15,120,12.5%,6.63
Ukraine,14,833,1.68%,21.45
Irak,14,445,3.15%,32.21
Lituanie,14,328,4.27%,18.61
Danemark,13,328,3.96%,15.18
Brésil,12,24709,0.05%,30.63
Italie,12,922,1.3%,20.69
Nigéria,12,369,3.25%,7.83
Cambodge,12,157,7.64%,14.1
Égypte,11,622,1.77%,12.82
République Dominicaine,11,307,3.58%,10.89
Koweït,11,210,5.24%,5.24
Oman,11,147,7.48%,7.88
Bahreïn,11,99,11.11%,6.15
Moldavie,11,62,17.74%,8.08
Région inconnue,10,344,2.91%,18.11
Iran,10,173,5.78%,21.25
Jamaïque,10,100,10%,9.44
Colombie,9,319,2.82%,16.11
Maroc,9,302,2.98%,21.08
Sri Lanka,9,272,3.31%,9.09
Vietnam,8,953,0.84%,18.82
Bangladesh,8,671,1.19%,19.82
Irlande,8,216,3.7%,11.55
Slovaquie,8,174,4.6%,8.86
Costa Rica,8,79,10.13%,12.63
Russie,7,12570,0.06%,28.25
Jordanie,7,318,2.2%,30.41
Bosnie-Herzégovine,7,215,3.26%,10.7
Liban,7,212,3.3%,7.36
Autriche,7,182,3.85%,13.08
Azerbaïdjan,6,106,5.66%,15.37
Chine,6,85,7.06%,6.45
Arménie,6,68,8.82%,4.29
Guatemala,6,67,8.96%,12.04
Panama,6,61,9.84%,18.54
Kosovo,6,30,20%,4
Népal,5,128,3.91%,24.6
Islande,5,82,6.1%,6
Guam,5,55,9.09%,5.16
Luxembourg,5,53,9.43%,9.51
Kenya,4,143,2.8%,8.92
Biélorussie,4,71,5.63%,6.82
Bahamas,4,71,5.63%,9.49
Mongolie,4,49,8.16%,6.69
Argentine,3,460,0.65%,20.91
Pérou,3,206,1.46%,12.62
Ouzbékistan,3,198,1.52%,23.6
Équateur,3,125,2.4%,19.06
Ghana,3,86,3.49%,5.99
Trinité-et-Tobago,3,80,3.75%,9.04
Lettonie,3,73,4.11%,9.79
Estonie,3,35,8.57%,11.63
Macao,3,28,10.71%,6.14
Monténégro,3,17,17.65%,5.41
Belize,2,185,1.08%,10.94
Îles Vierges américaines,2,80,2.5%,8.65
Éthiopie,2,47,4.26%,9.28
Bolivie,2,24,8.33%,19.71
Guyane,2,18,11.11%,11.72
Chili,1,122,0.82%,9.52
Tunisie,1,121,0.83%,17.28
Kazakhstan,1,97,1.03%,11.2
Paraguay,1,66,1.52%,26.35
Myanmar (Birmanie),1,53,1.89%,10.6
El Salvador,1,47,2.13%,5.19
Cameroun,1,40,2.5%,7.5
Barbade (La),1,31,3.23%,10.74
Cuba,1,27,3.7%,5.59
Kirghizistan,1,27,3.7%,10.19
Malte,1,23,4.35%,11.78
Caïmans (Îles),1,21,4.76%,8.86
Zambie,1,19,5.26%,5
Surinam,1,19,5.26%,6.05
Tanzanie,1,18,5.56%,19.11
Namibie,1,14,7.14%,5.29
Maldives,1,12,8.33%,6.42
Rwanda,1,9,11.11%,3.89
Haïti,1,6,16.67%,4.33
Bermudes,1,6,16.67%,14.67
Madagascar,1,6,16.67%,36.67
Bénin,1,5,20%,9
Togo,1,5,20%,14.8
Swaziland,1,4,25%,2.75
Mali,1,3,33.33%,1
Monaco,1,2,50%,1
Gibraltar,1,1,100%,8
Syrie,0,2448,0%,1.76
Algérie,0,189,0%,15.89
Chypre,0,173,0%,9.72
Venezuela,0,144,0%,14.34
Uruguay,0,122,0%,19.51
Honduras,0,36,0%,15.31
Palestine,0,33,0%,12.79
Libye,0,30,0%,6.3
Maurice (Île),0,26,0%,4.04
Laos,0,24,0%,5.5
Sainte-Lucie,0,24,0%,7.5
Seychelles,0,23,0%,12.91
Yémen,0,22,0%,10.95
Nicaragua,0,19,0%,18.16
Ouganda,0,17,0%,6.12
Zimbabwe,0,14,0%,4.07
Brunei,0,13,0%,4.15
Grenade,0,13,0%,7.08
Sierra Leone,0,12,0%,7.83
Angola,0,11,0%,4.64
Sénégal,0,11,0%,5.18
Liberia,0,11,0%,8.82
Gabon,0,11,0%,27.55
Curaçao,0,10,0%,5.8
Côte d'Ivoire,0,10,0%,6.7
Mozambique,0,10,0%,7.6
Sint Maarten,0,9,0%,6.78
Aruba,0,8,0%,6.25
Man (Île),0,7,0%,4.43
Dominique,0,7,0%,5.57
Jersey,0,6,0%,1.17
Fidji,0,6,0%,1.33
Somalie,0,6,0%,4.5
Anguilla,0,6,0%,5.83
Lesotho,0,6,0%,7.17
Îles Åland,0,6,0%,8.17
Antigua-et-Barbuda,0,6,0%,23.5
Andorre,0,5,0%,1.8
Burkina Faso,0,5,0%,5.4
République démocratique du Congo,0,5,0%,6.2
Malawi,0,5,0%,7.4
Cap-Vert,0,5,0%,27.2
Afghanistan,0,5,0%,30.4
Gambie,0,4,0%,2
Botswana,0,4,0%,5.75
Polynésie française,0,4,0%,6
Guinée équatoriale,0,4,0%,52.25
Samoa américaines,0,3,0%,4.67
Îles Vierges britanniques,0,3,0%,6
Saint-Christophe-et-Niévès,0,3,0%,8
Guernesey,0,2,0%,1
Îles Turks-et-Caïcos,0,2,0%,1.5
Cook (Îles),0,2,0%,5
Saint-Martin,0,2,0%,5
Mariannes du Nord (Commonwealth des îles),0,2,0%,6
Papouasie-Nouvelle Guinée,0,2,0%,7
Tadjikistan,0,2,0%,9
Guadeloupe,0,2,0%,32
Guinée,0,1,0%,1
Soudan,0,1,0%,1
Turkménistan,0,1,0%,1
